Name,Type,Total produced,Total sold,Total unsold,Damaged,Month,Year,Quarter,Edition,Price,Gender, Sales percent , Damage percent ,Estimated revenue,Unrealized revenue,Unrealized Revenue(Damaged),Total unrialized rev ,Price bucket
Nike Air Force 1 07 Sneakers,Brownie,30253,18594,929,10730,February,2016,Q1,Anniversary,115,F,61.46,35.47,"$2,138,310","$106,835","$1,233,950","$1,340,785",High
Adidas Originals Samba OG Shoes,Classic,58566,19238,10271,29057,December,2019,Q4,Limited,100,M,32.85,49.61,"$1,923,800","$1,027,100","$2,905,700","$3,932,800",Mid
Air Jordan 1 Mid Shoes,Creamy,58147,40682,5712,11753,September,2015,Q3,Anniversary,110,M,69.96,20.21,"$4,475,020","$628,320","$1,292,830","$1,921,150",High
Red Tape Casual Sneakers,White Chocolate,69600,11007,15158,43435,May,2017,Q2,Special Release,35,M,15.81,62.41,"$385,245","$530,530","$1,520,225","$2,050,755",Low
Nike Court Vision Low Shoes,White Chocolate,53713,20962,350,32401,May,2016,Q2,Special Release,80,M,39.03,60.32,"$1,676,960","$28,000","$2,592,080","$2,620,080",Mid
Puma Smash V2 Sneakers,Brownie,38305,20269,7270,10766,September,2023,Q3,Limited,65,M,52.91,28.11,"$1,317,485","$472,550","$699,790","$1,172,340",Mid
Converse Chuck Taylor All Star,Almond,28964,9259,2004,17701,October,2017,Q4,Limited,60,M,31.97,61.11,"$555,540","$120,240","$1,062,060","$1,182,300",Mid
New Balance 574 Core,Peanut Butter,11947,7934,778,3235,November,2023,Q4,Limited,90,M,66.41,27.08,"$714,060","$70,020","$291,150","$361,170",Mid
Reebok Classic Leather,Peanut Butter,44782,8434,28041,8307,April,2023,Q2,Anniversary,85,M,18.83,18.55,"$716,890","$2,383,485","$706,095","$3,089,580",Mid
Under Armour Charged Assert 9,Crisper,68756,55988,6837,5931,October,2020,Q4,Special Release,75,M,81.43,8.63,"$4,199,100","$512,775","$444,825","$957,600",Mid
Fila Disruptor II Premium,Brownie,15683,13543,905,1235,February,2020,Q1,Standard,70,F,86.35,7.87,"$948,010","$63,350","$86,450","$149,800",Mid
ASICS Gel-Quantum 90,White Chocolate,62640,32936,7222,22482,March,2016,Q1,Anniversary,100,F,52.58,35.89,"$3,293,600","$722,200","$2,248,200","$2,970,400",Mid
Skechers DLites,Classic,20589,10277,346,9966,August,2016,Q3,Standard,75,F,49.92,48.4,"$770,775","$25,950","$747,450","$773,400",Mid
Vans Old Skool,Crisper,88301,74541,8929,4831,February,2020,Q1,Special Release,70,M,84.42,5.47,"$5,217,870","$625,030","$338,170","$963,200",Mid
Onitsuka Tiger Mexico 66,White Chocolate,24996,23066,454,1476,September,2024,Q3,Limited,100,M,92.28,5.9,"$2,306,600","$45,400","$147,600","$193,000",Mid
Lacoste Carnaby Evo,Crisper,54424,34720,6639,13065,August,2019,Q3,Standard,95,F,63.8,24.01,"$3,298,400","$630,705","$1,241,175","$1,871,880",Mid
Superga 2750 Cotu Classic,Creamy,43408,29530,11378,2500,September,2022,Q3,Anniversary,65,M,68.03,5.76,"$1,919,450","$739,570","$162,500","$902,070",Mid
Hoka One One Clifton 8,Classic,66606,11328,6481,48797,April,2023,Q2,Holiday,140,M,17.01,73.26,"$1,585,920","$907,340","$6,831,580","$7,738,920",High
Saucony Jazz Original,Brownie,83608,78620,2288,2700,July,2022,Q3,Standard,80,F,94.03,3.23,"$6,289,600","$183,040","$216,000","$399,040",Mid
Columbia Trailstorm Waterproof,White Chocolate,16743,9712,2113,4918,July,2018,Q3,Holiday,110,M,58.01,29.37,"$1,068,320","$232,430","$540,980","$773,410",High
Nike Air Force 1 07 Sneakers,Peanut Butter,96079,68201,20530,7348,July,2024,Q3,Standard,115,F,70.98,7.65,"$7,843,115","$2,360,950","$845,020","$3,205,970",High
Adidas Originals Samba OG Shoes,Classic,46512,42624,2962,926,January,2024,Q1,Anniversary,100,M,91.64,1.99,"$4,262,400","$296,200","$92,600","$388,800",Mid
Air Jordan 1 Mid Shoes,Brownie,96223,95894,193,136,April,2015,Q2,Limited,110,F,99.66,0.14,"$10,548,340","$21,230","$14,960","$36,190",High
Red Tape Casual Sneakers,Almond,56009,5400,38721,11888,October,2024,Q4,Limited,35,F,9.64,21.23,"$189,000","$1,355,235","$416,080","$1,771,315",Low
Nike Court Vision Low Shoes,Classic,28595,25747,2723,125,January,2016,Q1,Special Release,80,F,90.04,0.44,"$2,059,760","$217,840","$10,000","$227,840",Mid
Puma Smash V2 Sneakers,Crisper,54681,15315,15115,24251,June,2018,Q2,Holiday,65,M,28.01,44.35,"$995,475","$982,475","$1,576,315","$2,558,790",Mid
Converse Chuck Taylor All Star,Classic,30392,10158,18604,1630,July,2022,Q3,Standard,60,F,33.42,5.36,"$609,480","$1,116,240","$97,800","$1,214,040",Mid
New Balance 574 Core,Crisper,89570,62939,13060,13571,January,2018,Q1,Limited,90,M,70.27,15.15,"$5,664,510","$1,175,400","$1,221,390","$2,396,790",Mid
Reebok Classic Leather,Almond,66349,12267,35520,18562,August,2022,Q3,Special Release,85,F,18.49,27.98,"$1,042,695","$3,019,200","$1,577,770","$4,596,970",Mid
Under Armour Charged Assert 9,Classic,38903,30903,3091,4909,August,2015,Q3,Standard,75,M,79.44,12.62,"$2,317,725","$231,825","$368,175","$600,000",Mid
Fila Disruptor II Premium,White Chocolate,27987,13372,9873,4742,September,2018,Q3,Standard,70,F,47.78,16.94,"$936,040","$691,110","$331,940","$1,023,050",Mid
ASICS Gel-Quantum 90,Peanut Butter,26932,17458,749,8725,November,2022,Q4,Limited,100,F,64.82,32.4,"$1,745,800","$74,900","$872,500","$947,400",Mid
Skechers DLites,Classic,62044,61476,525,43,November,2019,Q4,Standard,75,M,99.08,0.07,"$4,610,700","$39,375","$3,225","$42,600",Mid
Vans Old Skool,White Chocolate,51033,42732,1268,7033,June,2021,Q2,Anniversary,70,F,83.73,13.78,"$2,991,240","$88,760","$492,310","$581,070",Mid
Onitsuka Tiger Mexico 66,Almond,25096,18272,6654,170,August,2018,Q3,Limited,100,F,72.81,0.68,"$1,827,200","$665,400","$17,000","$682,400",Mid
Lacoste Carnaby Evo,White Chocolate,57428,10775,18033,28620,June,2024,Q2,Standard,95,F,18.76,49.84,"$1,023,625","$1,713,135","$2,718,900","$4,432,035",Mid
Superga 2750 Cotu Classic,Brownie,20308,11484,3741,5083,May,2023,Q2,Holiday,65,M,56.55,25.03,"$746,460","$243,165","$330,395","$573,560",Mid
Hoka One One Clifton 8,Classic,76910,19945,22192,34773,September,2020,Q3,Limited,140,F,25.93,45.21,"$2,792,300","$3,106,880","$4,868,220","$7,975,100",High
Saucony Jazz Original,Almond,94599,24358,39273,30968,February,2016,Q1,Limited,80,M,25.75,32.74,"$1,948,640","$3,141,840","$2,477,440","$5,619,280",Mid
Columbia Trailstorm Waterproof,Brownie,30036,29910,29,97,May,2022,Q2,Standard,110,F,99.58,0.32,"$3,290,100","$3,190","$10,670","$13,860",High
Nike Air Force 1 07 Sneakers,Crisper,83889,80952,1099,1838,August,2022,Q3,Special Release,115,F,96.5,2.19,"$9,309,480","$126,385","$211,370","$337,755",High
Adidas Originals Samba OG Shoes,White Chocolate,92210,46436,35881,9893,December,2019,Q4,Standard,100,F,50.36,10.73,"$4,643,600","$3,588,100","$989,300","$4,577,400",Mid
Air Jordan 1 Mid Shoes,White Chocolate,46002,43759,2013,230,December,2018,Q4,Special Release,110,F,95.12,0.5,"$4,813,490","$221,430","$25,300","$246,730",High
Red Tape Casual Sneakers,Crisper,14929,5932,2956,6041,April,2024,Q2,Holiday,35,M,39.73,40.46,"$207,620","$103,460","$211,435","$314,895",Low
Nike Court Vision Low Shoes,Brownie,87867,71462,3807,12598,March,2020,Q1,Special Release,80,M,81.33,14.34,"$5,716,960","$304,560","$1,007,840","$1,312,400",Mid
Puma Smash V2 Sneakers,Crisper,84928,29672,34185,21071,October,2021,Q4,Anniversary,65,M,34.94,24.81,"$1,928,680","$2,222,025","$1,369,615","$3,591,640",Mid
Converse Chuck Taylor All Star,Crisper,23566,16253,1462,5851,December,2015,Q4,Special Release,60,M,68.97,24.83,"$975,180","$87,720","$351,060","$438,780",Mid
New Balance 574 Core,Peanut Butter,67377,33797,23177,10403,January,2019,Q1,Holiday,90,F,50.16,15.44,"$3,041,730","$2,085,930","$936,270","$3,022,200",Mid
Reebok Classic Leather,Crisper,54350,49492,4430,428,November,2023,Q4,Holiday,85,M,91.06,0.79,"$4,206,820","$376,550","$36,380","$412,930",Mid
Under Armour Charged Assert 9,Brownie,98916,55667,24628,18621,October,2017,Q4,Special Release,75,F,56.28,18.83,"$4,175,025","$1,847,100","$1,396,575","$3,243,675",Mid
Fila Disruptor II Premium,Classic,86380,23537,2764,60079,December,2018,Q4,Holiday,70,F,27.25,69.55,"$1,647,590","$193,480","$4,205,530","$4,399,010",Mid
ASICS Gel-Quantum 90,Peanut Butter,87993,16104,31312,40577,April,2021,Q2,Anniversary,100,F,18.3,46.11,"$1,610,400","$3,131,200","$4,057,700","$7,188,900",Mid
Skechers DLites,White Chocolate,26750,22248,3737,765,March,2022,Q1,Anniversary,75,M,83.17,2.86,"$1,668,600","$280,275","$57,375","$337,650",Mid
Vans Old Skool,Almond,50483,16813,19633,14037,October,2018,Q4,Anniversary,70,M,33.3,27.81,"$1,176,910","$1,374,310","$982,590","$2,356,900",Mid
Onitsuka Tiger Mexico 66,Peanut Butter,20114,9846,8611,1657,September,2020,Q3,Special Release,100,M,48.95,8.24,"$984,600","$861,100","$165,700","$1,026,800",Mid
Lacoste Carnaby Evo,Creamy,54140,45503,6490,2147,September,2021,Q3,Anniversary,95,M,84.05,3.97,"$4,322,785","$616,550","$203,965","$820,515",Mid
Superga 2750 Cotu Classic,White Chocolate,91885,26697,17925,47263,November,2019,Q4,Standard,65,M,29.05,51.44,"$1,735,305","$1,165,125","$3,072,095","$4,237,220",Mid
Hoka One One Clifton 8,Crisper,90031,42346,18265,29420,August,2017,Q3,Special Release,140,F,47.03,32.68,"$5,928,440","$2,557,100","$4,118,800","$6,675,900",High
Saucony Jazz Original,White Chocolate,35430,17053,3940,14437,March,2020,Q1,Holiday,80,F,48.13,40.75,"$1,364,240","$315,200","$1,154,960","$1,470,160",Mid
Columbia Trailstorm Waterproof,Peanut Butter,36174,31255,3786,1133,October,2024,Q4,Holiday,110,F,86.4,3.13,"$3,438,050","$416,460","$124,630","$541,090",High
Nike Air Force 1 07 Sneakers,White Chocolate,58655,41342,13952,3361,December,2022,Q4,Special Release,115,F,70.48,5.73,"$4,754,330","$1,604,480","$386,515","$1,990,995",High
Adidas Originals Samba OG Shoes,Classic,31012,13938,2351,14723,October,2020,Q4,Limited,100,M,44.94,47.48,"$1,393,800","$235,100","$1,472,300","$1,707,400",Mid
Air Jordan 1 Mid Shoes,Peanut Butter,69130,62975,3292,2863,April,2015,Q2,Anniversary,110,F,91.1,4.14,"$6,927,250","$362,120","$314,930","$677,050",High
Red Tape Casual Sneakers,Peanut Butter,60615,10348,25697,24570,July,2017,Q3,Standard,35,M,17.07,40.53,"$362,180","$899,395","$859,950","$1,759,345",Low
Nike Court Vision Low Shoes,White Chocolate,95191,48947,36673,9571,July,2016,Q3,Standard,80,F,51.42,10.05,"$3,915,760","$2,933,840","$765,680","$3,699,520",Mid
Puma Smash V2 Sneakers,Creamy,28191,28119,12,60,January,2020,Q1,Special Release,65,M,99.74,0.21,"$1,827,735",$780,"$3,900","$4,680",Mid
Converse Chuck Taylor All Star,Classic,43544,19133,19512,4899,February,2021,Q1,Special Release,60,M,43.94,11.25,"$1,147,980","$1,170,720","$293,940","$1,464,660",Mid
New Balance 574 Core,White Chocolate,47762,20573,17321,9868,May,2016,Q2,Standard,90,F,43.07,20.66,"$1,851,570","$1,558,890","$888,120","$2,447,010",Mid
Reebok Classic Leather,Classic,24530,21378,708,2444,January,2021,Q1,Standard,85,M,87.15,9.96,"$1,817,130","$60,180","$207,740","$267,920",Mid
Under Armour Charged Assert 9,Creamy,28818,14544,7242,7032,January,2015,Q1,Special Release,75,F,50.47,24.4,"$1,090,800","$543,150","$527,400","$1,070,550",Mid
Fila Disruptor II Premium,Peanut Butter,97080,92584,3795,701,November,2020,Q4,Holiday,70,M,95.37,0.72,"$6,480,880","$265,650","$49,070","$314,720",Mid
ASICS Gel-Quantum 90,Crisper,71621,10706,19256,41659,May,2019,Q2,Holiday,100,M,14.95,58.17,"$1,070,600","$1,925,600","$4,165,900","$6,091,500",Mid
Skechers DLites,Almond,18855,10649,4256,3950,March,2023,Q1,Standard,75,F,56.48,20.95,"$798,675","$319,200","$296,250","$615,450",Mid
Vans Old Skool,Peanut Butter,15811,10772,567,4472,October,2018,Q4,Limited,70,F,68.13,28.28,"$754,040","$39,690","$313,040","$352,730",Mid
Onitsuka Tiger Mexico 66,Creamy,72722,28891,34994,8837,September,2015,Q3,Anniversary,100,M,39.73,12.15,"$2,889,100","$3,499,400","$883,700","$4,383,100",Mid
Lacoste Carnaby Evo,Classic,36144,34025,1948,171,July,2018,Q3,Holiday,95,F,94.14,0.47,"$3,232,375","$185,060","$16,245","$201,305",Mid
Superga 2750 Cotu Classic,Almond,14799,8131,4325,2343,January,2019,Q1,Standard,65,F,54.94,15.83,"$528,515","$281,125","$152,295","$433,420",Mid
Hoka One One Clifton 8,Almond,26315,17059,2097,7159,December,2024,Q4,Anniversary,140,F,64.83,27.21,"$2,388,260","$293,580","$1,002,260","$1,295,840",High
Saucony Jazz Original,Almond,34486,21259,1889,11338,July,2020,Q3,Holiday,80,F,61.65,32.88,"$1,700,720","$151,120","$907,040","$1,058,160",Mid
Columbia Trailstorm Waterproof,White Chocolate,20828,16912,2178,1738,November,2015,Q4,Anniversary,110,M,81.2,8.34,"$1,860,320","$239,580","$191,180","$430,760",High
Nike Air Force 1 07 Sneakers,Brownie,48504,26050,19093,3361,November,2015,Q4,Holiday,115,F,53.71,6.93,"$2,995,750","$2,195,695","$386,515","$2,582,210",High
Adidas Originals Samba OG Shoes,Crisper,88986,60851,22675,5460,September,2022,Q3,Anniversary,100,M,68.38,6.14,"$6,085,100","$2,267,500","$546,000","$2,813,500",Mid
Air Jordan 1 Mid Shoes,Creamy,56210,45294,3790,7126,January,2018,Q1,Standard,110,F,80.58,12.68,"$4,982,340","$416,900","$783,860","$1,200,760",High
Red Tape Casual Sneakers,Almond,77251,25969,49242,2040,August,2016,Q3,Special Release,35,F,33.62,2.64,"$908,915","$1,723,470","$71,400","$1,794,870",Low
Nike Court Vision Low Shoes,Classic,26545,7203,11609,7733,September,2023,Q3,Holiday,80,M,27.14,29.13,"$576,240","$928,720","$618,640","$1,547,360",Mid
Puma Smash V2 Sneakers,Brownie,30111,27251,1018,1842,February,2019,Q1,Holiday,65,M,90.5,6.12,"$1,771,315","$66,170","$119,730","$185,900",Mid
Converse Chuck Taylor All Star,Brownie,28047,22349,2692,3006,June,2019,Q2,Holiday,60,M,79.68,10.72,"$1,340,940","$161,520","$180,360","$341,880",Mid
New Balance 574 Core,Classic,13396,8048,1260,4088,October,2020,Q4,Anniversary,90,M,60.08,30.52,"$724,320","$113,400","$367,920","$481,320",Mid
Reebok Classic Leather,Almond,44116,34246,6355,3515,November,2021,Q4,Holiday,85,F,77.63,7.97,"$2,910,910","$540,175","$298,775","$838,950",Mid
Under Armour Charged Assert 9,Peanut Butter,26074,9447,14201,2426,January,2020,Q1,Limited,75,F,36.23,9.3,"$708,525","$1,065,075","$181,950","$1,247,025",Mid
Fila Disruptor II Premium,Classic,99381,46889,8725,43767,November,2018,Q4,Standard,70,F,47.18,44.04,"$3,282,230","$610,750","$3,063,690","$3,674,440",Mid
ASICS Gel-Quantum 90,Almond,30644,28324,1607,713,November,2023,Q4,Holiday,100,M,92.43,2.33,"$2,832,400","$160,700","$71,300","$232,000",Mid
Skechers DLites,Peanut Butter,28202,12757,2496,12949,July,2020,Q3,Standard,75,F,45.23,45.92,"$956,775","$187,200","$971,175","$1,158,375",Mid
Vans Old Skool,Crisper,82305,22009,20192,40104,November,2024,Q4,Standard,70,F,26.74,48.73,"$1,540,630","$1,413,440","$2,807,280","$4,220,720",Mid
Onitsuka Tiger Mexico 66,Creamy,72739,58843,1295,12601,August,2019,Q3,Special Release,100,F,80.9,17.32,"$5,884,300","$129,500","$1,260,100","$1,389,600",Mid
Lacoste Carnaby Evo,Creamy,19720,12372,3532,3816,August,2022,Q3,Special Release,95,M,62.74,19.35,"$1,175,340","$335,540","$362,520","$698,060",Mid
Superga 2750 Cotu Classic,White Chocolate,26912,19176,3617,4119,September,2024,Q3,Standard,65,M,71.25,15.31,"$1,246,440","$235,105","$267,735","$502,840",Mid
Hoka One One Clifton 8,Almond,31581,10307,10702,10572,December,2022,Q4,Limited,140,F,32.64,33.48,"$1,442,980","$1,498,280","$1,480,080","$2,978,360",High
Saucony Jazz Original,White Chocolate,20336,9105,8015,3216,February,2022,Q1,Special Release,80,F,44.77,15.81,"$728,400","$641,200","$257,280","$898,480",Mid
Columbia Trailstorm Waterproof,Brownie,79924,17245,29743,32936,March,2022,Q1,Limited,110,M,21.58,41.21,"$1,896,950","$3,271,730","$3,622,960","$6,894,690",High
Nike Air Force 1 07 Sneakers,Peanut Butter,96341,86851,3959,5531,June,2024,Q2,Special Release,115,M,90.15,5.74,"$9,987,865","$455,285","$636,065","$1,091,350",High
Adidas Originals Samba OG Shoes,Classic,15958,15509,55,394,June,2021,Q2,Holiday,100,F,97.19,2.47,"$1,550,900","$5,500","$39,400","$44,900",Mid
Air Jordan 1 Mid Shoes,Brownie,93753,8969,19506,65278,December,2024,Q4,Special Release,110,F,9.57,69.63,"$986,590","$2,145,660","$7,180,580","$9,326,240",High
Red Tape Casual Sneakers,Crisper,42096,31613,5610,4873,February,2020,Q1,Standard,35,M,75.1,11.58,"$1,106,455","$196,350","$170,555","$366,905",Low
Nike Court Vision Low Shoes,Crisper,64476,36735,12523,15218,April,2017,Q2,Holiday,80,F,56.97,23.6,"$2,938,800","$1,001,840","$1,217,440","$2,219,280",Mid
Puma Smash V2 Sneakers,White Chocolate,51853,27634,11154,13065,June,2016,Q2,Holiday,65,M,53.29,25.2,"$1,796,210","$725,010","$849,225","$1,574,235",Mid
Converse Chuck Taylor All Star,Almond,41685,35570,5112,1003,December,2017,Q4,Anniversary,60,M,85.33,2.41,"$2,134,200","$306,720","$60,180","$366,900",Mid
New Balance 574 Core,Classic,48038,30175,4162,13701,October,2017,Q4,Limited,90,F,62.81,28.52,"$2,715,750","$374,580","$1,233,090","$1,607,670",Mid
Reebok Classic Leather,Peanut Butter,30885,21327,1125,8433,March,2020,Q1,Anniversary,85,F,69.05,27.3,"$1,812,795","$95,625","$716,805","$812,430",Mid
Under Armour Charged Assert 9,Classic,21802,17885,1847,2070,February,2020,Q1,Limited,75,F,82.03,9.49,"$1,341,375","$138,525","$155,250","$293,775",Mid
Fila Disruptor II Premium,Classic,16624,9609,2961,4054,September,2021,Q3,Anniversary,70,M,57.8,24.39,"$672,630","$207,270","$283,780","$491,050",Mid
ASICS Gel-Quantum 90,White Chocolate,24089,19120,3872,1097,November,2024,Q4,Holiday,100,F,79.37,4.55,"$1,912,000","$387,200","$109,700","$496,900",Mid
Skechers DLites,Almond,15930,11563,3948,419,May,2021,Q2,Special Release,75,F,72.59,2.63,"$867,225","$296,100","$31,425","$327,525",Mid
Vans Old Skool,Classic,60639,38046,7836,14757,July,2023,Q3,Special Release,70,M,62.74,24.34,"$2,663,220","$548,520","$1,032,990","$1,581,510",Mid
Onitsuka Tiger Mexico 66,Peanut Butter,22672,17907,1708,3057,November,2023,Q4,Holiday,100,F,78.98,13.48,"$1,790,700","$170,800","$305,700","$476,500",Mid
Lacoste Carnaby Evo,White Chocolate,28909,11522,705,16682,July,2019,Q3,Special Release,95,M,39.86,57.71,"$1,094,590","$66,975","$1,584,790","$1,651,765",Mid
Superga 2750 Cotu Classic,Peanut Butter,53652,36047,588,17017,February,2020,Q1,Limited,65,M,67.19,31.72,"$2,343,055","$38,220","$1,106,105","$1,144,325",Mid
Hoka One One Clifton 8,Almond,90356,46750,32957,10649,May,2019,Q2,Special Release,140,F,51.74,11.79,"$6,545,000","$4,613,980","$1,490,860","$6,104,840",High
Saucony Jazz Original,Brownie,54089,38247,2272,13570,September,2020,Q3,Special Release,80,F,70.71,25.09,"$3,059,760","$181,760","$1,085,600","$1,267,360",Mid
Columbia Trailstorm Waterproof,Crisper,12180,8017,1450,2713,July,2022,Q3,Standard,110,F,65.82,22.27,"$881,870","$159,500","$298,430","$457,930",High
Nike Air Force 1 07 Sneakers,White Chocolate,92478,8492,5748,78238,April,2020,Q2,Holiday,115,M,9.18,84.6,"$976,580","$661,020","$8,997,370","$9,658,390",High
Adidas Originals Samba OG Shoes,Creamy,16731,14560,204,1967,November,2016,Q4,Special Release,100,F,87.02,11.76,"$1,456,000","$20,400","$196,700","$217,100",Mid
Air Jordan 1 Mid Shoes,Peanut Butter,99224,36745,60410,2069,June,2021,Q2,Standard,110,F,37.03,2.09,"$4,041,950","$6,645,100","$227,590","$6,872,690",High
Red Tape Casual Sneakers,Almond,64890,14924,22903,27063,September,2022,Q3,Limited,35,F,23,41.71,"$522,340","$801,605","$947,205","$1,748,810",Low
Nike Court Vision Low Shoes,White Chocolate,18163,16563,1318,282,October,2020,Q4,Limited,80,F,91.19,1.55,"$1,325,040","$105,440","$22,560","$128,000",Mid
Puma Smash V2 Sneakers,Brownie,59391,25562,22480,11349,February,2020,Q1,Special Release,65,F,43.04,19.11,"$1,661,530","$1,461,200","$737,685","$2,198,885",Mid
Converse Chuck Taylor All Star,Creamy,99226,89319,5576,4331,November,2021,Q4,Anniversary,60,M,90.02,4.36,"$5,359,140","$334,560","$259,860","$594,420",Mid
New Balance 574 Core,Almond,83149,44124,24289,14736,May,2018,Q2,Holiday,90,F,53.07,17.72,"$3,971,160","$2,186,010","$1,326,240","$3,512,250",Mid
Reebok Classic Leather,Almond,72888,50718,3804,18366,December,2023,Q4,Holiday,85,F,69.58,25.2,"$4,311,030","$323,340","$1,561,110","$1,884,450",Mid
Under Armour Charged Assert 9,Crisper,55237,14599,21603,19035,June,2015,Q2,Holiday,75,M,26.43,34.46,"$1,094,925","$1,620,225","$1,427,625","$3,047,850",Mid
Fila Disruptor II Premium,Almond,67983,47989,11591,8403,May,2023,Q2,Anniversary,70,F,70.59,12.36,"$3,359,230","$811,370","$588,210","$1,399,580",Mid
ASICS Gel-Quantum 90,Brownie,45601,13996,28026,3579,November,2021,Q4,Special Release,100,M,30.69,7.85,"$1,399,600","$2,802,600","$357,900","$3,160,500",Mid
Skechers DLites,Creamy,79604,34579,3217,41808,August,2017,Q3,Standard,75,F,43.44,52.52,"$2,593,425","$241,275","$3,135,600","$3,376,875",Mid
Vans Old Skool,Creamy,71918,18178,9098,44642,August,2023,Q3,Limited,70,M,25.28,62.07,"$1,272,460","$636,860","$3,124,940","$3,761,800",Mid
Onitsuka Tiger Mexico 66,Crisper,95575,67350,12580,15645,April,2022,Q2,Limited,100,F,70.47,16.37,"$6,735,000","$1,258,000","$1,564,500","$2,822,500",Mid
Lacoste Carnaby Evo,Almond,47409,47329,73,7,August,2023,Q3,Standard,95,M,99.83,0.01,"$4,496,255","$6,935",$665,"$7,600",Mid
Superga 2750 Cotu Classic,Brownie,14888,7868,3597,3423,November,2024,Q4,Limited,65,M,52.85,22.99,"$511,420","$233,805","$222,495","$456,300",Mid
Hoka One One Clifton 8,White Chocolate,62034,56639,1337,4058,February,2017,Q1,Holiday,140,M,91.3,6.54,"$7,929,460","$187,180","$568,120","$755,300",High
Saucony Jazz Original,Almond,84443,84007,382,54,October,2018,Q4,Holiday,80,F,99.48,0.06,"$6,720,560","$30,560","$4,320","$34,880",Mid
Columbia Trailstorm Waterproof,Peanut Butter,76088,66344,5274,4470,February,2017,Q1,Standard,110,F,87.19,5.87,"$7,297,840","$580,140","$491,700","$1,071,840",High
Nike Air Force 1 07 Sneakers,Creamy,43720,17202,26057,461,April,2023,Q2,Holiday,115,M,39.35,1.05,"$1,978,230","$2,996,555","$53,015","$3,049,570",High
Adidas Originals Samba OG Shoes,Peanut Butter,90079,88719,530,830,April,2024,Q2,Anniversary,100,M,98.49,0.92,"$8,871,900","$53,000","$83,000","$136,000",Mid
Air Jordan 1 Mid Shoes,Crisper,97720,17502,55999,24219,July,2016,Q3,Anniversary,110,M,17.91,24.78,"$1,925,220","$6,159,890","$2,664,090","$8,823,980",High
Red Tape Casual Sneakers,Classic,44181,30137,10186,3858,January,2020,Q1,Holiday,35,F,68.21,8.73,"$1,054,795","$356,510","$135,030","$491,540",Low
Nike Court Vision Low Shoes,Brownie,85088,6498,44308,34282,May,2022,Q2,Holiday,80,M,7.64,40.29,"$519,840","$3,544,640","$2,742,560","$6,287,200",Mid
Puma Smash V2 Sneakers,Creamy,25495,20250,2732,2513,October,2016,Q4,Anniversary,65,F,79.43,9.86,"$1,316,250","$177,580","$163,345","$340,925",Mid
Converse Chuck Taylor All Star,Creamy,25389,14667,4701,6021,November,2021,Q4,Limited,60,M,57.77,23.71,"$880,020","$282,060","$361,260","$643,320",Mid
New Balance 574 Core,Crisper,30078,19908,246,9924,March,2019,Q1,Anniversary,90,F,66.19,32.99,"$1,791,720","$22,140","$893,160","$915,300",Mid
Reebok Classic Leather,White Chocolate,80453,33627,30609,16217,August,2022,Q3,Special Release,85,M,41.8,20.16,"$2,858,295","$2,601,765","$1,378,445","$3,980,210",Mid
Under Armour Charged Assert 9,Brownie,68556,39614,5881,23061,January,2019,Q1,Standard,75,M,57.78,33.64,"$2,971,050","$441,075","$1,729,575","$2,170,650",Mid
Fila Disruptor II Premium,Classic,81781,71255,7214,3312,June,2021,Q2,Special Release,70,F,87.13,4.05,"$4,987,850","$504,980","$231,840","$736,820",Mid
ASICS Gel-Quantum 90,White Chocolate,78202,62912,13386,1904,August,2022,Q3,Limited,100,F,80.45,2.43,"$6,291,200","$1,338,600","$190,400","$1,529,000",Mid
Skechers DLites,Classic,76895,63390,256,13249,August,2015,Q3,Anniversary,75,F,82.44,17.23,"$4,754,250","$19,200","$993,675","$1,012,875",Mid
Vans Old Skool,Crisper,83912,12567,10741,60604,July,2022,Q3,Holiday,70,F,14.98,72.22,"$879,690","$751,870","$4,242,280","$4,994,150",Mid
Onitsuka Tiger Mexico 66,Almond,10395,6785,1242,2368,October,2015,Q4,Standard,100,M,65.27,22.78,"$678,500","$124,200","$236,800","$361,000",Mid
Lacoste Carnaby Evo,Brownie,17897,6130,4033,7734,May,2015,Q2,Holiday,95,M,34.25,43.21,"$582,350","$383,135","$734,730","$1,117,865",Mid
Superga 2750 Cotu Classic,White Chocolate,94085,89656,986,3443,March,2019,Q1,Anniversary,65,F,95.29,3.66,"$5,827,640","$64,090","$223,795","$287,885",Mid
Hoka One One Clifton 8,Crisper,20518,16185,3244,1089,April,2022,Q2,Holiday,140,F,78.88,5.31,"$2,265,900","$454,160","$152,460","$606,620",High
Saucony Jazz Original,Brownie,26691,12297,717,13677,January,2015,Q1,Standard,80,F,46.07,51.24,"$983,760","$57,360","$1,094,160","$1,151,520",Mid
Columbia Trailstorm Waterproof,Creamy,81361,60591,3340,17430,April,2019,Q2,Limited,110,F,74.47,21.42,"$6,665,010","$367,400","$1,917,300","$2,284,700",High
Nike Air Force 1 07 Sneakers,Peanut Butter,46129,17352,99,28678,February,2023,Q1,Standard,115,F,37.62,62.17,"$1,995,480","$11,385","$3,297,970","$3,309,355",High
Adidas Originals Samba OG Shoes,Brownie,12050,6971,3391,1688,October,2015,Q4,Standard,100,F,57.85,14.01,"$697,100","$339,100","$168,800","$507,900",Mid
